City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,tambura,5.6,27.4667,26.58,45,56,0.61,SS,1702335229
173,keflavik,64.0049,-22.5624,-0.76,74,20,3.09,IS,1702335230
174,sinabang,2.4803,96.3801,25.8,82,98,1.19,ID,1702335232
175,lompoc,34.6391,-120.4579,24.45,61,0,6.17,US,1702335233
176,alice springs,-23.7,133.8833,18.75,42,0,4.12,AU,1702335234
177,carnarvon,-24.8667,113.6333,26.17,31,0,2.88,AU,1702335235
178,glace bay,46.1969,-59.957,14.88,89,100,12.86,CA,1702335012
179,ramhormoz,31.28,49.6035,18.63,35,74,0.55,IR,1702335237
180,santiago,-33.4569,-70.6483,26.69,34,0,6.17,CL,1702335238
181,hermanus,-34.4187,19.2345,16.85,86,70,5.78,ZA,1702335239
182,palikir - national government center,6.9248,158.1611,29.47,79,75,3.6,FM,1702335240
183,la ronge,55.1001,-105.2842,-10.86,62,20,8.75,CA,1702335242
184,kodiak,57.79,-152.4072,0.73,60,20,3.09,US,1702335243
185,haiku-pauwela,20.9219,-156.3051,29.01,62,20,7.2,US,1702335244
186,kuhmo,64.1333,29.5167,-16.65,97,100,1.85,FI,1702335245
187,chernyshevskiy,63.0128,112.4714,-31.13,99,100,1.0,RU,1702335246
188,pemangkat,1.1667,108.9667,25.18,89,100,2.19,ID,1702335247
189,kamin-kashyrskyi,51.6241,24.9586,1.48,100,100,5.0,UA,1702335249
190,kalmunai,7.4167,81.8167,24.71,91,98,2.87,LK,1702335251
191,codrington,-38.2667,141.9667,25.37,60,87,5.5,AU,1702335252
192,la gi,10.6667,107.7833,22.9,84,98,3.52,VN,1702335254
193,hirara,24.8,125.2833,22.15,100,100,9.26,JP,1702335255
194,rongelap,11.1635,166.8941,27.65,77,73,9.01,MH,1702335256
195,shimoda,34.6667,138.95,18.57,96,100,7.18,JP,1702335259
196,porto velho,-8.7619,-63.9039,25.03,94,75,0.0,BR,1702335260
197,rabaul,-4.1967,152.1721,27.71,72,95,0.34,PG,1702335261
198,rye,40.9807,-73.6837,5.66,67,75,6.69,US,1702335263
199,weno,7.4515,151.8468,26.97,94,100,2.06,FM,1702335264
200,kingston,17.997,-76.7936,29.53,72,20,7.2,JM,1702335003
201,livingston,55.9029,-3.5226,6.23,98,75,1.54,GB,1702335266
202,qui nhon,13.7667,109.2333,22.5,88,24,2.35,VN,1702335268
203,kostomuksha,64.571,30.5767,-19.98,100,100,0.89,RU,1702335269
204,soure,-0.7167,-48.5233,27.5,81,65,6.31,BR,1702335270
205,hassi messaoud,31.6804,6.0729,11.92,40,0,1.54,DZ,1702335271
206,youghal,51.95,-7.8506,9.75,100,100,5.75,IE,1702335272
207,ingeniero jacobacci,-41.3427,-69.5448,15.67,40,8,12.73,AR,1702335274
208,segarcea,44.1,23.75,1.48,78,96,0.76,RO,1702335275
209,nova sintra,14.8667,-24.7167,23.11,68,24,7.18,CV,1702335276
210,sao tome,0.3365,6.7273,26.17,83,99,1.96,ST,1702335277
211,el granada,37.5027,-122.4694,18.47,57,0,5.66,US,1702335279
212,hotan,37.0997,79.9269,0.99,33,100,0.91,CN,1702335280
213,mirnyy,62.5353,113.9611,-29.39,96,100,2.67,RU,1702335281
214,taco pozo,-25.6167,-63.2833,30.76,43,75,4.38,AR,1702335282
215,bikenibeu village,1.3673,173.1241,28.53,72,78,1.83,KI,1702335283
216,beaufort west,-32.3567,22.583,19.94,45,0,2.29,ZA,1702335284
217,illizi,26.4833,8.4667,11.89,36,0,2.55,DZ,1702335285
218,ponta delgada,37.7333,-25.6667,13.4,82,20,2.57,PT,1702335286
219,ciudad guadalupe victoria,24.4497,-104.1225,19.38,31,35,1.57,MX,1702335287
220,limbazi,57.5129,24.7194,-1.66,98,100,2.93,LV,1702335288
221,santiago de cao,-7.9589,-79.2392,21.07,78,30,5.66,PE,1702335290
222,svalyava,48.5485,22.9958,1.94,99,100,2.18,UA,1702335291
223,mont-tremblant,46.1949,-74.6264,-3.23,86,100,0.51,CA,1702335120
224,al muwayh,22.4333,41.7583,16.79,20,70,4.6,SA,1702335293
225,sorsk,54.0033,90.2467,-27.82,97,9,1.66,RU,1702335294
226,harpenden,51.8168,-0.3571,8.93,95,75,2.57,GB,1702335295
227,hue,16.4667,107.6,23.06,100,40,1.03,VN,1702335296
